title,author,duration,start_date,finish_date,reading_speed,cover_url,percent_complete
Warbreaker,Brandon Sanderson,24.95,08/05/2024 - 05:00 PM,08/15/2024 - 09:32 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczMg6OL2MPbZ36O4lekOJRMNTe9gsu_vpjPpb8Cy0anBkXqXdR7W6aRUvM5USF0PbjYAyxQgNbqiH9TvOHBuBzrL7CnAB77mI-cvgcYtYf2cd6842cD6=w2400,100%
The Way of Kings,Brandon Sanderson,45.53,08/15/2024 - 09:34 PM,08/28/2024 - 12:33 AM,2.0,https://i.imgur.com/QTA9ABn.jpeg,100%
Not Till We Are Lost,Dennis E. Taylor,11.68,08/28/2024 - 08:46 AM,09/03/2024 - 02:51 PM,2.0,https://i.imgur.com/1AF1BD1.png,100%
Words of Radiance,Brandon Sanderson,48.22,09/03/2024 - 02:52 PM,09/18/2024 - 02:14 PM,2.0,https://i.imgur.com/E9kjrvh.png,100%
Edgedancer,Brandon Sanderson,5.08,09/18/2024 - 02:28 PM,09/19/2024 - 01:06 PM,2.0,https://lh3.googleusercontent.com/pw/AP1GczMCn2BOkFgq0ck8UoeKZVbtfPotL3HTEaOgkg1uQTXECnZoDNXmWvzTigzMIEYqHiKbNoS3payq9_Tro4WoEFjB-PSW3MRG5lBsDvJTuRT8HhpCWsET=w2400,100%
Oathbringer,Brandon Sanderson,54.07,09/19/2024 - 01:08 PM,10/15/2024 - 02:10 PM,2.0,https://i.imgur.com/20fLOZ3.jpeg,100%
The Waiting,Michael Connelly,10.83,10/15/2024 - 10:44 PM,10/20/2024 - 01:18 AM,2.0,https://i.imgur.com/r1tdKJS.png,100%
Dawnshard,Brandon Sanderson,7.08,10/20/2024 - 04:20 PM,10/23/2024 - 11:53 AM,2.0,https://lh3.googleusercontent.com/pw/AP1GczMnCmOPresSW3fguqY2ry4bk6mjL_vNhQHAkFd0Btnu16RpVe_3H_QfMc0k2i6R3S-wbyYn0cVlBgYukaBlNBLNPTkWeaSBMIpARHA0TE4dnRTh475n=w2400,100%
The Richest Man in Babylon,George S. Clason,4.88,10/28/2024 - 11:42 PM,10/31/2024 - 02:32 PM,2.0,https://i.imgur.com/ocSxblU.jpeg,100%
Rhythm of War,Brandon Sanderson,57.43,10/23/2024 - 01:01 PM,11/18/2024 - 12:50 AM,2.0,https://i.imgur.com/7kv3abX.jpeg,100%
Revan,Drew Karpyshyn,10.87,11/18/2024 - 07:59 AM,11/22/2024 - 07:30 PM,2.0,https://i.imgur.com/wQ5dsRO.png,100%
Deceived,Paul S. Kemp,9.42,11/22/2024 - 07:35 PM,11/26/2024 - 08:28 AM,2.0,https://i.imgur.com/pTlhyt5.png,100%
All Systems Red,Martha Wells,3.28,11/26/2024 - 08:30 AM,11/27/2024 - 02:17 AM,2.0,https://i.imgur.com/UtE89qN.png,100%
Artificial Condition,Martha Wells,3.35,11/27/2024 - 02:17 AM,11/27/2024 - 11:55 PM,2.0,https://i.imgur.com/YdauSyg.png,100%
Rogue Protocol,Martha Wells,3.77,11/27/2024 - 11:55 PM,11/28/2024 - 01:20 PM,2.0,https://i.imgur.com/IUBbdbP.png,100%
The Lost Metal,Brandon Sanderson,18.78,11/28/2024 - 01:30 PM,12/04/2024 - 11:21 PM,2.0,https://i.imgur.com/YIKRoKh.png,100%
Wind and Truth,Brandon Sanderson,62.80,12/06/2024 - 12:15 AM,12/30/2024 - 12:57 PM,2.0,https://i.imgur.com/AITplKF.png,100%
Exit Strategy,Martha Wells,3.77,12/30/2024 - 01:07 PM,12/31/2024 - 11:14 PM,2.0,https://i.imgur.com/3TWJ5AB.png,100%
Benjamin Franklin,Walter Isaacson,24.67,01/01/2023 - 01:56 AM,01/09/2023 - 08:30 PM,2.0,,100%
Tress of the Emerald Sea,Brandon Sanderson,12.45,01/07/2023 - 09:54 PM,01/31/2023 - 11:53 PM,2.0,,100%
Alcatraz vs the Evil Librarians,Brandon Sanderson,6.22,01/09/2023 - 08:59 PM,01/12/2023 - 12:16 AM,2.0,,100%
Alcatraz vs the Scrivener's Bones,Brandon Sanderson,7.08,01/12/2023 - 12:08 PM,01/12/2023 - 10:05 PM,2.0,,100%
Elantris + The Emperor's Soul,Brandon Sanderson,32.65,01/12/2023 - 10:08 PM,01/23/2023 - 08:31 AM,2.0,,100%
The Bone Bed,Patricia Cornwell,12.90,01/24/2023 - 01:46 AM,01/30/2023 - 03:11 PM,2.0,,100%
Acatraz vs the Knights of Crystallia,Brandon Sanderson,6.75,01/30/2023 - 04:34 PM,01/31/2023 - 10:57 PM,2.0,,100%
The Loneliest Girl in the Universe,Lauren James,7.63,02/01/2023 - 12:27 PM,02/02/2023 - 12:15 PM,2.0,,100%
Alcatraz vs the Shattered Lens,Brandon Sanderson,6.22,02/02/2023 - 12:19 PM,02/05/2023 - 10:55 AM,2.0,,100%
